word|function|count
Βελλεροφόντης|subj|4
πέπλος|subj|4
ἀνατολή|subj|4
θρόνος|subj|4
γιγνώσκω|subj|4
νήπιος|subj|4
Κασσάνδρη|subj|4
Καύκωνες|subj|4
Ἰάονες|subj|4
Λοκροί|subj|4
Φθῖος|subj|4
εἰσοράω|subj|4
Ὀι|subj|4
Αἰγύπτιος|subj|4
ἀνιάζω|subj|4
κολεόν|subj|4
Ἐνυώ|subj|4
μήκων|subj|4
Πρόμαχος|subj|4
ἀνάβλησις|subj|4
εὐρύκλεια|subj|4
δρηστήρ|subj|4
ἕδρα|subj|4
κεραμεύς|subj|4
Ἀκτορίων|subj|4
ξύλον|subj|4
ὀπός|subj|4
μῆχος|subj|4
εἴσοδος|subj|4
ὅπλον|subj|4
φθίω|subj|4
ἀργυρότοξος|subj|4
Αἴθη|subj|4
χύσις|subj|4
ἀλαός|subj|4
Ἴθακος|subj|4
Νήριτος|subj|4
Πολύκτωρ|subj|4
πάσχω|subj|4
κέρας|subj|4
ὕβρις|subj|4
ἀχυρμιά|subj|4
Περίφας|subj|4
κραταιίς|subj|3
θαῦμα|subj|3
προνοέω|subj|3
μετάφρενον|subj|3
ἐρέτης|subj|3
Παφλαγών|subj|3
Φρυγίη|subj|3
Ἀστυάναξ|subj|3
λήθη|subj|3
δείλη|subj|3
ἔσθος|subj|3
βάραθρον|subj|3
πόθος|subj|3
οἶκτος|subj|3
Ὀιλεύς|subj|3
ὑβρίζω|subj|3
ἥλιος|subj|3
τέφρα|subj|3
σβέννυμι|subj|3
μεθίημι|subj|3
νιφετός|subj|3
Αὐγείας|subj|3
Μενοιτιάδης|subj|3
χρῆμα|subj|3
ἀλέω|subj|3
περιναιέτης|subj|3
ἀλέα|subj|3
μυθολογεύω|subj|3
δοκός|subj|3
κίων|subj|3
πομπή|subj|3
μαίομαι|subj|3
φυγή|subj|3
ἔλαφος|subj|3
Νιόβη|subj|3
λιτή|subj|3
Μελανθεύς|subj|3
δαλός|subj|3
ὀπυίω|subj|3
ὄρχατος|subj|3
Ἀδρήστη|subj|3
Ἀλκίππη|subj|3
Κύδωνες|subj|3
ὑπάλυξις|subj|3
μνημοσύνη|subj|3
φρίξ|subj|3
χολάς|subj|3
λοιμός|subj|3
ἀμείνων|subj|3
μαχητής|subj|3
ἔγχελυς|subj|3
μολπή|subj|3
κόναβος|subj|3
σπεῖρον|subj|3
ἐπίκριον|subj|3
χαλκεύς|subj|3
Λύκων|subj|3
φάσγανον|subj|3
Κοίρανος|subj|3
γόος|subj|3
Οὐκαλέγων|subj|3
ἐπιβάσκω|subj|3
θνητός|subj|3
ἐρίζω|subj|3
θαυμάζω|subj|3
ἄγαμαι|subj|3
Διόνυσος|subj|3
ἀγηνορία|subj|3
θήρ|subj|3
γλαυκῶπις|subj|3
πρόχοος|subj|3
δύω|subj|3
μένω|subj|3
Ἐχέπωλος|subj|3
ὀπτήρ|subj|3
τρύφος|subj|3
θύσανος|subj|3
Ἀσκάλαφος|subj|3
Δαρδάνιων|subj|3
αἶα|subj|3
Παιάν|subj|3
κοιμάω|subj|3
ῥυμός|subj|3
ὄμφαξ|subj|3
καταβλώσκω|subj|3
ὄκνος|subj|3
ὑποδρηστήρ|subj|3
ἑκυρά|subj|3
ἑκυρός|subj|3
ἔντεα|subj|3
θέρος|subj|3
ὀπώρα|subj|3
Ἄντικλος|subj|3
βιόω|subj|3
Εὐπείθης|subj|3
διαπέρθω|subj|3
πρᾶξις|subj|3
νοῦσος|subj|3
οἰκωφελία|subj|3
οἶστρος|subj|3
πολεμίζω|subj|3
σκῦτος|subj|3
στάθμη|subj|3
ὀμφή|subj|3
ἐπαγείρω|subj|3
Εὐρυμέδων|subj|3
Πολύιδος|subj|3
ἀφαιρέω|subj|3
